date,pe
2002-04-16,40.51
2002-04-30,39.96
2002-05-14,37.8
2002-05-28,35.57
2002-06-11,35.65
2002-06-25,41.67
2002-07-09,46.46
2002-07-23,43.03
2002-08-06,42.11
2002-08-20,36.68
2002-09-03,36.75
2002-09-17,33.89
2002-10-01,33.86
2002-10-15,31.88
2002-10-29,32.32
2002-11-12,32.72
2002-11-26,29.56
2002-12-10,29.19
2002-12-24,29.49
2003-01-07,27.14
2003-01-21,31.71
2003-02-04,33.05
2003-02-18,31.38
2003-03-04,32.08
2003-03-18,31.31
2003-04-01,35.1
2003-04-15,42.26
2003-04-29,35.88
2003-05-13,35.35
2003-05-27,36.52
2003-06-10,34.33
2003-06-24,33.07
2003-07-08,34.48
2003-07-22,34.07
2003-08-05,33.54
2003-08-19,31.91
2003-09-02,30.34
2003-09-16,28.06
2003-09-30,27.77
2003-10-14,28.06
2003-10-28,26.45
2003-11-11,26.37
2003-11-25,26.78
2003-12-09,27.38
2003-12-23,30.53
2004-01-06,32.25
2004-01-20,31.87
2004-02-03,33.1
2004-02-17,33.59
2004-03-02,28.54
2004-03-16,28.66
2004-03-30,28.1
2004-04-13,26.9
2004-04-27,26.9
2004-05-11,24.64
2004-05-25,24.48
2004-06-08,23.96
2004-06-22,23.21
2004-07-06,24.23
2004-07-20,25.28
2004-08-03,24.29
2004-08-17,22.63
2004-08-31,22.49
2004-09-14,21.78
2004-09-28,22.9
2004-10-12,21.61
2004-10-26,21.22
2004-11-09,19.92
2004-11-23,19.7
2004-12-07,19.15
2004-12-21,18.88
2005-01-04,18.19
2005-01-18,17.99
2005-02-01,19.15
2005-02-15,20.21
2005-03-01,19.46
2005-03-15,18.57
2005-03-29,19.28
2005-04-12,19.62
2005-04-26,19.71
2005-05-10,18.67
2005-05-24,17.24
2005-06-07,16.89
2005-06-21,18.25
2005-07-05,18.16
2005-07-19,19.1
2005-08-02,20.55
2005-08-16,20.73
2005-08-30,19.4
2005-09-13,19.51
2005-09-27,17.74
2005-10-11,18.52
2005-10-25,18.2
2005-11-08,16.44
2005-11-22,16.41
2005-12-06,17.57
2005-12-20,17.82
2006-01-03,17.82
2006-01-17,20.8
2006-01-31,20.8
2006-02-14,22.67
2006-02-28,21.45
2006-03-14,19.81
2006-03-28,20.71
2006-04-11,21.64
2006-04-25,19.99
2006-05-09,22.43
2006-05-23,20.58
2006-06-06,21.11
2006-06-20,21.05
2006-07-04,23.16
2006-07-18,21.64
2006-08-01,21.4
2006-08-15,20.95
2006-08-29,22.53
2006-09-12,23.97
2006-09-26,28.75
2006-10-10,32.8
2006-10-24,33.82
2006-11-07,32.42
2006-11-21,38.21
2006-12-05,39.01
2006-12-19,41.36
2007-01-02,46.45
2007-01-16,48.52
2007-01-30,52.38
2007-02-13,48.35
2007-02-27,43.55
2007-03-13,45.37
2007-03-27,46.73
2007-04-10,51.1
2007-04-24,40.44
2007-05-08,35.94
2007-05-22,36.79
2007-06-05,38.27
2007-06-19,42.94
2007-07-03,43.49
2007-07-17,49.67
2007-07-31,53.09
2007-08-14,51.03
2007-08-28,53.09
2007-09-11,49.12
2007-09-25,52.14
2007-10-09,56.77
2007-10-23,48.64
2007-11-06,49.15
2007-11-20,45.75
2007-12-04,46.86
2007-12-18,42.25
2008-01-01,46.22
2008-01-15,48.76
2008-01-29,40.82
2008-02-12,42.04
2008-02-26,35.41
2008-03-11,36.49
2008-03-25,28.67
2008-04-08,32.26
2008-04-22,30.02
2008-05-06,26.17
2008-05-20,23.19
2008-06-03,22.86
2008-06-17,18.4
2008-07-01,16.23
2008-07-15,17.66
2008-07-29,18.77
2008-08-12,17.16
2008-08-26,15.04
2008-09-09,13.27
2008-09-23,11.26
2008-10-07,10.25
2008-10-21,9.62
2008-11-04,7.03
2008-11-18,7.88
2008-12-02,7.11
2008-12-16,7.86
2008-12-30,7.37
2009-01-13,7.28
2009-01-27,8.19
2009-02-10,9.0
2009-02-24,8.36
2009-03-10,9.03
2009-03-24,9.22
2009-04-07,10.08
2009-04-21,11.18
2009-05-05,12.53
2009-05-19,13.28
2009-06-02,13.81
2009-06-16,16.4
2009-06-30,17.38
2009-07-14,18.32
2009-07-28,19.56
2009-08-11,17.99
2009-08-25,15.17
2009-09-08,18.29
2009-09-22,17.59
2009-10-06,17.56
2009-10-20,19.88
2009-11-03,23.73
2009-11-17,23.96
2009-12-01,21.94
2009-12-15,22.63
2009-12-29,21.66
2010-01-12,21.53
2010-01-26,20.3
2010-02-09,19.31
2010-02-23,19.5
2010-03-09,20.34
2010-03-23,21.7
2010-04-06,22.83
2010-04-20,15.68
2010-05-04,15.04
2010-05-18,14.9
2010-06-01,14.21
2010-06-15,13.78
2010-06-29,14.1
2010-07-13,14.87
2010-07-27,15.27
2010-08-10,15.0
2010-08-24,13.1
2010-09-07,12.88
2010-09-21,11.98
2010-10-05,12.06
2010-10-19,14.42
2010-11-02,12.37
2010-11-16,11.43
2010-11-30,10.94
2010-12-14,11.13
2010-12-28,10.75
2011-01-11,11.06
2011-01-25,10.59
2011-02-08,10.65
2011-02-22,10.66
2011-03-08,11.99
2011-03-22,11.61
2011-04-05,12.0
2011-04-19,12.42
2011-05-03,10.85
2011-05-17,10.58
2011-05-31,10.47
2011-06-14,9.71
2011-06-28,9.9
2011-07-12,9.75
2011-07-26,9.29
2011-08-09,7.99
2011-08-23,8.17
2011-09-06,8.03
2011-09-20,7.92
2011-10-04,7.66
2011-10-18,8.01
2011-11-01,7.81
2011-11-15,7.69
2011-11-29,7.43
2011-12-13,7.49
2011-12-27,7.51
2012-01-10,8.07
2012-01-24,8.36
2012-02-07,8.18
2012-02-21,8.19
2012-03-06,8.09
2012-03-20,7.73
2012-04-03,7.11
2012-04-17,7.08
2012-05-01,6.76
2012-05-15,6.56
2012-05-29,6.52
2012-06-12,5.99
2012-06-26,6.09
2012-07-10,5.63
2012-07-24,5.31
2012-08-07,5.54
2012-08-21,5.17
2012-09-04,5.19
2012-09-18,5.27
2012-10-02,5.36
2012-10-16,5.44
2012-10-30,5.11
2012-11-13,5.1
2012-11-27,5.06
2012-12-11,5.58
2012-12-25,6.48
2013-01-08,6.89
2013-01-22,7.1
2013-02-05,7.31
2013-02-19,7.02
2013-03-05,6.37
2013-03-19,6.01
2013-04-02,5.99
2013-04-16,5.89
2013-04-30,5.62
2013-05-14,6.17
2013-05-28,6.36
2013-06-11,6.09
2013-06-25,5.05
2013-07-09,5.16
2013-07-23,5.12
2013-08-06,4.98
2013-08-20,4.94
2013-09-03,4.78
2013-09-17,5.7
2013-10-01,5.56
2013-10-15,5.62
2013-10-29,5.68
2013-11-12,5.39
2013-11-26,5.46
2013-12-10,5.6
2013-12-24,5.13
2014-01-07,5.31
2014-01-21,5.31
2014-02-04,5.23
2014-02-18,5.03
2014-03-04,4.75
2014-03-18,4.67
2014-04-01,4.82
2014-04-15,4.9
2014-04-29,4.75
2014-05-13,4.69
2014-05-27,4.75
2014-06-10,4.77
2014-06-24,4.78
2014-07-08,4.87
2014-07-22,4.69
2014-08-05,5.25
2014-08-19,5.07
2014-09-02,4.82
2014-09-16,4.77
2014-09-30,4.68
2014-10-14,4.67
2014-10-28,4.64
2014-11-11,4.79
2014-11-25,4.83
2014-12-09,5.67
2014-12-23,6.53
2015-01-06,7.13
2015-01-20,6.36
2015-02-03,6.33
2015-02-17,6.55
2015-03-03,6.39
2015-03-17,6.95
2015-03-31,7.02
2015-04-14,7.88
2015-04-28,8.28
2015-05-12,7.7
2015-05-26,8.32
2015-06-09,9.03
2015-06-23,8.18
2015-07-07,8.76
2015-07-21,7.84
2015-08-04,7.87
2015-08-18,7.28
2015-09-01,7.27
2015-09-15,7.77
2015-09-29,7.53
2015-10-13,7.8
2015-10-27,7.79
2015-11-10,8.02
2015-11-24,7.69
2015-12-08,7.5
2015-12-22,7.86
2016-01-05,7.41
2016-01-19,6.76
2016-02-02,6.39
2016-02-16,6.43
2016-03-01,6.41
2016-03-15,6.94
2016-03-29,6.91
2016-04-12,7.12
2016-04-26,7.83
2016-05-10,7.31
2016-05-24,7.43
2016-06-07,7.63
2016-06-21,7.52
2016-07-05,7.53
2016-07-19,7.34
2016-08-02,7.21
2016-08-16,7.7
2016-08-30,7.76
2016-09-13,7.53
2016-09-27,7.6
2016-10-11,7.71
2016-10-25,7.63
2016-11-08,7.4
2016-11-22,7.55
2016-12-06,7.65
2016-12-20,7.31
2017-01-03,7.38
2017-01-17,7.59
2017-01-31,7.72
2017-02-14,7.67
2017-02-28,7.9
2017-03-14,7.76
2017-03-28,7.71
2017-04-11,7.73
2017-04-25,7.7
2017-05-09,7.44
2017-05-23,8.64
2017-06-06,8.68
2017-06-20,8.34
2017-07-04,9.1
2017-07-18,9.71
2017-08-01,9.97
2017-08-15,9.74
2017-08-29,10.35
2017-09-12,10.09
2017-09-26,9.81
2017-10-10,9.96
2017-10-24,10.16
2017-11-07,9.92
2017-11-21,11.14
2017-12-05,10.82
2017-12-19,10.77
2018-01-02,10.87
2018-01-16,11.7
2018-01-30,11.71
2018-02-13,11.11
2018-02-27,11.1
2018-03-13,11.05
2018-03-27,10.33
2018-04-10,10.89
2018-04-24,10.38
2018-05-08,10.28
2018-05-22,10.32
2018-06-05,10.13
2018-06-19,10.04
2018-07-03,8.73
2018-07-17,8.78
2018-07-31,9.46
2018-08-14,9.17
2018-08-28,9.54
2018-09-11,9.13
2018-09-25,9.88
2018-10-09,9.8
2018-10-23,9.67
2018-11-06,9.57
2018-11-20,9.1
2018-12-04,9.47
2018-12-18,8.94
2019-01-01,8.07
2019-01-15,8.59
2019-01-29,8.97
